verb	verb_id	object	sentence	phrase
causes	30	diuresis	Endogenous kidney DOPAMINE ( DA ) CAUSES natriuresis and DIURESIS , at least partly , via inhibition of proximal tubular Na+,K(+)-ATPase .	...dopamine ( DA ) causes natriuresis and diuresis ,...
inhibited	2	binding	Serotonin , noradrenaline , and DOPAMINE INHIBITED BINDING of [3H]vesamicol to the vesicles , and dopamine was a competitive inhibitor of the binding of this allosteric ligand of the acetylcholine transporter .	...dopamine inhibited binding of...
increased	1	h	Striatal DOPAMINE INCREASED 1 H after treatment with metadoxine ( 150 mg kg-1 ) , but the most notable effect was obtained 24 h after the drug administration .	...dopamine increased 1 h after...
approached	-1	values	Seven days after metadoxine administration , striatal DOPAMINE APPROACHED the control VALUES .	...dopamine approached the control values ....
exhibited	55	effects	Serotonin and DOPAMINE also EXHIBITED mostly inhibitory EFFECTS on responsive ARC neurons ( 80 and 78.4 % , respectively ) , although more than half ARC neurons tested ( 53.3 % of 169 ) were not responsive to dopamine .	...dopamine also exhibited mostly inhibitory effects on...
produced	7	effects	D-DOPA and DOPAMINE ( 300 microM ) PRODUCED no EFFECTS .	...dopamine ( 300 microM ) produced no effects ....
induces	18	release	It is suggested that DOPAMINE , released by amphetamine , INDUCES the RELEASE of amino acid neurotransmitters in the neostriatum .	...dopamine , released by amphetamine , induces the release of...
mediate	37	effects	In addition , it is proposed that DOPAMINE could MEDIATE the neurotoxic EFFECTS produced by amphetamines through their secondary action on the release of excitatory amino acids .	...dopamine could mediate the neurotoxic effects produced...
regulate	26	activity	In the present work we have studied the postnatal development of functional DOPAMINE , opioid and tachykinin receptors , which REGULATE cholinergic ACTIVITY in the neostriatum .	...dopamine , opioid and tachykinin receptors , which regulate cholinergic activity in...
modulate	15	functions	Our results with molecular biological techniques thus suggest that striatal DOPAMINE might MODULATE the FUNCTIONS of striatal astrocytes .	...dopamine might modulate the functions of...
had	5	effect	In vitro addition of carbachol , a muscarinic receptor agonist , resulted in a significant suppression of the release of [3H]GABA evoked by high potassium ( 50 mM ) stimulation in a dose dependent manner , while noradrenaline , isoproterenol , DOPAMINE , 5-hydroxytryptamine , histamine and glutamic acid HAD no significant EFFECT on the evoked release of [3H]GABA .	...dopamine , 5-hydroxytryptamine , histamine and glutamic acid had no significant effect on...
block	-1	Ca2	Five-min perifusion of 0.1 - 50 microM tolbutamide induced a concentration-correlated secretion of PRL with a minimum effective concentration of 0.1 microM. Both basal and 50 microM tolbutamide-induced PRL secretion were significantly suppressed by 10 microM DOPAMINE or 2 microM nifedipine , which BLOCK CA2 + influx through L-type channels , but not by 100 microM diazoxide , indicating that tolbutamide induces PRL secretion by a mechanism involving Ca2 + influx through L-type Ca2 + channels which is not related to its ability to block ATP-sensitive K+ channels .	...dopamine or 2 microM nifedipine , which block Ca2 +...
evoked	73	quenching	It is shown that all secretagogues tested also control the oscillatory state of Xenopus melanotropes , that is , the secreto-inhibitors DOPAMINE , isoguvacine ( gamma-aminobutyric acid , GABAA agonist ) , baclofen ( GABAB agonist ) and neuropeptide Y EVOKED a rapid QUENCHING of the spontaneous Ca2 + oscillations , whereas the secreto-stimulant sauvagine , an amphibian peptide related to corticotropin releasing hormone , induced oscillatory activity in non-oscillating cells .	...dopamine , isoguvacine ( gamma-aminobutyric acid , GABAA agonist ) , baclofen ( GABAB agonist ) and neuropeptide Y evoked a rapid quenching of...
increased	1	folds	Plasma epinephrine , norepinephrine and DOPAMINE levels INCREASED 149 FOLDS , 7.8 folds and 2.9 folds respectively as compared with preanesthetic values during surgical manipulation of the tumor , and then declined in magnitude but still remained 15 folds , 2.7 folds and 1.8 folds higher respectively as compared with the preanesthetic levels after removal of the tumor .	...dopamine levels increased 149 folds ,...
inhibited	2	release	We previously reported that DOPAMINE ( DA ) INHIBITED the RELEASE of human placental lactogen ( hPL ) from human placental cells .	...dopamine ( DA ) inhibited the release of...
mediate	37	hyperactivity	Increased brain PAF , DOPAMINE , and and norepinephrine concentrations with decreased brain serotonin concentrations may MEDIATE the HYPERACTIVITY of the hypothalamic-pituitary-adrenal axis and involve some unknown pathophysiologic processes of arenaviral infection .	...dopamine , and and norepinephrine concentrations with decreased brain serotonin concentrations may mediate the hyperactivity of...
hyperpolarized	-1	neurons	Baclofen ( 1 microM ) and DOPAMINE ( 30 microM ) HYPERPOLARIZED the NEURONS ; when the potential was restored to its original level , the oscillations of potential and/or burst firing were not observed , but the tonic firing pattern was restored .	...dopamine ( 30 microM ) hyperpolarized the neurons ;...
inhibit	13	oscillations	Baclofen and DOPAMINE INHIBIT the OSCILLATIONS by increasing the potassium conductance and hyperpolarizing the dendrites .	...dopamine inhibit the oscillations by...
uncoupled	-1	cells	Both exogenously applied DOPAMINE and endogenously released dopamine UNCOUPLED the horizontal CELLS , but the effect was pH-gated whereby it occurred only at an extracellular pH 7.2 + /- 0.05 .	...dopamine and endogenously released dopamine uncoupled the horizontal cells ,...
uncoupled	-1	cells	Both exogenously applied dopamine and endogenously released DOPAMINE UNCOUPLED the horizontal CELLS , but the effect was pH-gated whereby it occurred only at an extracellular pH 7.2 + /- 0.05 .	...dopamine uncoupled the horizontal cells ,...
inhibits	0	activity	In prolactin-secreting GH4 cells that express cloned D2 receptors , DOPAMINE selectively INHIBITS the ACTIVITY of the prolactin gene promoter , a response mediated in part by the pituitary transcription factor Pit-1 .	...dopamine selectively inhibits the activity of...
take	-1	part	Among several possible regulators , inhibitory DOPAMINE and stimulatory thyrotropin-releasing hormone ( TRH ) may TAKE PART in the regulation of prolactin levels in connection with epileptic activity .	...dopamine and stimulatory thyrotropin-releasing hormone ( TRH ) may take part in...
constitutes	-1	portion	sulfoconjugated DOPAMINE CONSTITUTES the major PORTION of circulating or excreted dopamine , but its physiologic significance is still unknown .	...dopamine constitutes the major portion of...
inhibits	0	secretion	It is well established that DOPAMINE ( DA ) effectively INHIBITS PRL SECRETION from anterior pituitary mammotropes via D2-DA receptors .	...dopamine ( DA ) effectively inhibits PRL secretion from...
induces	18	ecto-5'-nucleotidase	These results indicate that DOPAMINE INDUCES ECTO-5'-NUCLEOTIDASE and inhibits DNA synthesis of cultured human mesangial cells .	...dopamine induces ecto-5'-nucleotidase and...
exerts	11	effect	These results suggest that DOPAMINE , though its interaction with D2 dopamine receptors , EXERTS an inhibitory EFFECT on the expression of GAD mRNA , and that glutamate , though its interaction with NMDA receptors , exerts a stimulatory effect on GAD mRNA expression .	...dopamine , though its interaction with D2 dopamine receptors , exerts an inhibitory effect on...
inhibit	13	binding	Haloperidol was also a good inhibitor , but the D1 receptor agonist , SKF-38393 , the D2 receptor antagonist , sulpiride , and DOPAMINE did not INHIBIT the BINDING .	...dopamine did not inhibit the binding ....
reduced	20	score	Using the model of acute haemorrhagic pancreatitis , it was previously shown that low dose DOPAMINE ( 5 micrograms/kg.m ) REDUCED the inflammatory SCORE at 24 hours and that this effect was mediated by a reduction in pancreatic microvascular permeability acting via dopaminergic and beta adrenergic receptors .	...dopamine ( 5 micrograms/kg.m ) reduced the inflammatory score at...
enhances	36	activity	Recent electrophysiological and pharmacological data indicate that DOPAMINE ENHANCES the ACTIVITY of interneurons in the prefrontal cortex ( PFC ) and induces the release of GABA from these cells .	...dopamine enhances the activity of...
increased	1	LVdP/dt/SAP	Prior to the I-TEA intervention , DOPAMINE INCREASED MAP , CO , LVdP/dt , LVDP/DT/SAP and stroke volume ( SV ) already at the dose 10 micrograms.kg-1.min-1 and , additionally , increased mean pulmonary artery pressure ( MPAP ) at the dose 20 micrograms.kg-1.min-1 .	...dopamine increased MAP , CO , LVdP/dt , LVdP/dt/SAP and...
counters	-1	depression	To conclude , exogenous DOPAMINE effectively and dose-dependently COUNTERS cardiovascular DEPRESSION induced by the anesthetic technique of combining I and TEA .	...dopamine effectively and dose-dependently counters cardiovascular depression induced...
play	6	role	Acetylcholine , DOPAMINE , noradrenaline , adrenaline , serotonin and histamine may PLAY a transient modulatory ROLE ; forebrain-induced vocalization , however , does not depend upon the cholinergic or monoaminergic activation of PAG neurons .	...dopamine , noradrenaline , adrenaline , serotonin and histamine may play a transient modulatory role ;...
reduced	20	components	In untreated slices , DOPAMINE REDUCED all COMPONENTS of the synaptic responses .	...dopamine reduced all components of...
stimulate	25	increase	In fact , DOPAMINE and thrombin STIMULATE a rapid INCREASE in tyrosine phosphorylation of a number of substrates in the transfected Chinese hamster ovary cells .	...dopamine and thrombin stimulate a rapid increase in...
inhibit	13	Ca2	In the present study using whole-cell voltage-clamp technique we found that DOPAMINE , bromocriptine and quinpirole INHIBIT low-threshold ( T-type ) voltage dependent CA2 + channels .	...dopamine , bromocriptine and quinpirole inhibit low-threshold ( T-type ) voltage dependent Ca2 +...
plays	3	role	The presence of large numbers of dopaminergic neurons in the olfactory bulb suggests that DOPAMINE PLAYS an important ROLE in olfaction .	...dopamine plays an important role in...
contracts	98	oesophagus	These findings indicate that DOPAMINE CONTRACTS the upper OESOPHAGUS of chicks by releasing 5-hydroxytryptamine , activates alpha-adrenergic receptors causing contraction of the ESM but depresses NANC neurotransmission in the bladder .	...dopamine contracts the upper oesophagus of...
caused	8	increase	The resting overflow of 3H was unaffected by any of the above agents except DOPAMINE , which CAUSED a small INCREASE .	...dopamine , which caused a small increase ....
prevented	56	cytotoxicity	In the cultured retinal neurons , DOPAMINE PREVENTED NMDA receptor-mediated glutamate CYTOTOXICITY via D1-receptors .	...dopamine prevented NMDA receptor-mediated glutamate cytotoxicity via...
